emperor;Emperor;;;;;;;;;;;;;
emperor_adj;Emperor;;;;;;;;;;;;;
emperor_desc;Emperor;;;;;;;;;;;;;
king;King;;;;;;;;;;;;;
king_adj;King;;;;;;;;;;;;;
king_desc;King;;;;;;;;;;;;;
duke;Duke;;;;;;;;;;;;;
duke_adj;Duke;;;;;;;;;;;;;
duke_desc;Duke;;;;;;;;;;;;;
count;Count;;;;;;;;;;;;;
count_adj;Count;;;;;;;;;;;;;
count_desc;Count;;;;;;;;;;;;;
baron;Baron;;;;;;;;;;;;;
baron_adj;Baron;;;;;;;;;;;;;
baron_desc;Baron;;;;;;;;;;;;;
mayor;Mayor;;;;;;;;;;;;;
mayor_adj;Mayor;;;;;;;;;;;;;
mayor_desc;Mayor;;;;;;;;;;;;;
barbarian;Nireth;;;;;;;;;;;;;
barbarian_adj;Nireth;;;;;;;;;;;;;
barbarian_desc;Nireth;;;;;;;;;;;;;
norse;Ysselbious;;;;;;;;;;;;;
norse_adj;Ysselbious;;;;;;;;;;;;;
norse_desc;Ysselbious;;;;;;;;;;;;;
pagan;Ropacai;;;;;;;;;;;;;
pagan_adj;Ropacai;;;;;;;;;;;;;
pagan_desc;Ropacai;;;;;;;;;;;;;
christian;Elobynnla;;;;;;;;;;;;;
christian_adj;Elobynnla;;;;;;;;;;;;;
christian_desc;Elobynnla;;;;;;;;;;;;;
pagan_DESC;All praise the almighty Lar!;;;;;;;;;;;;;
pagan_DESC_adj;All praise the almighty Lar!;;;;;;;;;;;;;
pagan_DESC_desc;All praise the almighty Lar!;;;;;;;;;;;;;
k;Ulmsumair;;;;;;;;;;;;;
k_adj;Ulmsumair;;;;;;;;;;;;;
k_desc;Ulmsumair;;;;;;;;;;;;;
domyuns;Domyuns;;;;;;;;;;;;;
domyuns_adj;Domyuns;;;;;;;;;;;;;
domyuns_desc;Domyuns;;;;;;;;;;;;;
karasus;Karasus;;;;;;;;;;;;;
karasus_adj;Karasus;;;;;;;;;;;;;
karasus_desc;Karasus;;;;;;;;;;;;;
bonas;Bonas;;;;;;;;;;;;;
bonas_adj;Bonas;;;;;;;;;;;;;
bonas_desc;Bonas;;;;;;;;;;;;;
egaloras;Egaloras;;;;;;;;;;;;;
egaloras_adj;Egaloras;;;;;;;;;;;;;
egaloras_desc;Egaloras;;;;;;;;;;;;;
w;Emon;;;;;;;;;;;;;
w_adj;Emon;;;;;;;;;;;;;
w_desc;Emon;;;;;;;;;;;;;
r;Bydami;;;;;;;;;;;;;
r_adj;Bydami;;;;;;;;;;;;;
r_desc;Bydami;;;;;;;;;;;;;
s;Baedus;;;;;;;;;;;;;
s_adj;Baedus;;;;;;;;;;;;;
s_desc;Baedus;;;;;;;;;;;;;
n;Pryercron;;;;;;;;;;;;;
n_adj;Pryercron;;;;;;;;;;;;;
n_desc;Pryercron;;;;;;;;;;;;;
nar;Nar;;;;;;;;;;;;;
nar_adj;Nar;;;;;;;;;;;;;
nar_desc;Nar;;;;;;;;;;;;;
tarn;Tarn;;;;;;;;;;;;;
tarn_adj;Tarn;;;;;;;;;;;;;
tarn_desc;Tarn;;;;;;;;;;;;;
sarn;Sarn;;;;;;;;;;;;;
sarn_adj;Sarn;;;;;;;;;;;;;
sarn_desc;Sarn;;;;;;;;;;;;;
qarn;Qarn;;;;;;;;;;;;;
qarn_adj;Qarn;;;;;;;;;;;;;
qarn_desc;Qarn;;;;;;;;;;;;;
karn;Karn;;;;;;;;;;;;;
karn_adj;Karn;;;;;;;;;;;;;
karn_desc;Karn;;;;;;;;;;;;;
